epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1209.78,1.25652,1.06212,1.45053,0.80289,0.75878,0.85748,0.54284,1.3559,1.24145,1.81402,0.0011684,0.0011684,0.0011684
44,1253.79,1.22204,1.03407,1.43727,0.77619,0.83333,0.84681,0.51819,1.32845,1.40767,1.7946,0.0011486,0.0011486,0.0011486
45,1303.63,1.23328,1.03671,1.43866,0.83705,0.84314,0.87934,0.5518,1.33053,1.41527,1.85239,0.0011288,0.0011288,0.0011288
46,1342.68,1.21833,1.03673,1.44926,0.82156,0.81373,0.8703,0.53411,1.35635,1.17702,1.85512,0.001109,0.001109,0.001109
47,1387.71,1.2313,1.06327,1.45683,0.75512,0.65686,0.71319,0.45301,1.42496,2.36358,1.85401,0.0010892,0.0010892,0.0010892
48,1427.12,1.23944,1.00457,1.45145,0.85148,0.84311,0.89465,0.53851,1.35543,1.22683,1.84476,0.0010694,0.0010694,0.0010694
49,1474.75,1.24428,1.06107,1.45857,0.81534,0.84314,0.87092,0.54671,1.2782,1.40891,1.7869,0.0010496,0.0010496,0.0010496
50,1518.32,1.21059,0.97256,1.41409,0.88452,0.77451,0.88761,0.56405,1.28743,1.50507,1.79461,0.0010298,0.0010298,0.0010298
51,1558.16,1.21745,0.99777,1.42609,0.83641,0.83333,0.89576,0.56791,1.332,1.10234,1.81705,0.00101,0.00101,0.00101
52,1599.35,1.19419,1.01935,1.41666,0.88169,0.76471,0.87067,0.54288,1.23137,1.28201,1.78648,0.0009902,0.0009902,0.0009902
53,1639.8,1.18017,0.99778,1.4245,0.89006,0.79375,0.88242,0.56098,1.25969,1.18117,1.81658,0.0009704,0.0009704,0.0009704
54,1689.86,1.17257,0.95312,1.4061,0.84025,0.86275,0.89281,0.5714,1.26059,1.1976,1.79287,0.0009506,0.0009506,0.0009506
55,1717.82,1.16627,0.92893,1.38265,0.86036,0.84314,0.88395,0.52644,1.28227,1.19288,1.80512,0.0009308,0.0009308,0.0009308
